             	node1  Z	node2  Z	node3  Z	node4  Z	node5  Z	node6  Z	node7  Z	node8  Z	node9  Z	node10 Z	node11 Z	node12 Z	node13 Z	node14 Z	node15 Z	node16 Z	node17 Z	node18 Z	node19 Z	node20 Z	node21 Z	node22 Z	node23 Z	node24 Z	node25 Z	node26 Z	node27 Z	node28 Z	node29 Z	node30 Z	node31 Z	node32 Z	node33 Z	node34 Z	node35 Z	node36 Z	node37 Z	node38 Z	node39 Z	node40 Z	node41 Z	node42 Z	node43 Z	node44 Z	node45 Z	node46 Z	node47 Z	node48 Z	node49 Z	node50 Z	node51 Z	node52 Z	node53 Z	node54 Z	node55 Z	node56 Z	node57 Z	node58 Z	node59 Z	node60 Z	node61 Z	node62 Z	node63 Z	node64 Z	node65 Z	node66 Z	node67 Z	node68 Z	node69 Z	node70 Z	node71 Z	node72 Z	node73 Z	node74 Z	node75 Z	node76 Z	node77 Z	node78 Z	node79 Z	node80 Z	node81 Z	node82 Z	node83 Z	node84 Z	node85 Z	node86 Z	node87 Z	node88 Z	node89 Z	node90 Z	node91 Z	node92 Z	node93 Z	node94 Z	node95 Z	node96 Z	node97 Z	node98 Z	node99 Z	node100Z	
Time=0.000000	0.048150	0.144450	0.240750	0.337050	0.433350	0.529650	0.625950	0.722250	0.818550	0.914850	1.011150	1.107450	1.203750	1.300050	1.396350	1.492650	1.588950	1.685250	1.781550	1.877850	1.974150	2.070450	2.166750	2.263050	2.359350	2.455650	2.551950	2.648250	2.744550	2.840850	2.937150	3.033450	3.129750	3.226050	3.322350	3.418650	3.514950	3.611250	3.707550	3.803850	3.900150	3.996450	4.092750	4.189050	4.285350	4.381650	4.477950	4.574250	4.670550	4.766850	4.863150	4.959450	5.055750	5.152050	5.248350	5.344650	5.440950	5.537250	5.633550	5.729850	5.826150	5.922450	6.018750	6.115050	6.211350	6.307650	6.403950	6.500250	6.596550	6.692850	6.789150	6.885450	6.981750	7.078050	7.174350	7.270650	7.366950	7.463250	7.559550	7.655850	7.752150	7.848450	7.944750	8.041050	8.137350	8.233650	8.329950	8.426250	8.522550	8.618850	8.715150	8.811450	8.907750	9.004050	9.100350	9.196650	9.292950	9.389250	9.485550	9.581850	
Time=0.010000	0.048159	0.144476	0.240793	0.337110	0.433427	0.529744	0.626061	0.722378	0.818695	0.915012	1.011329	1.107646	1.203963	1.300281	1.396598	1.492915	1.589232	1.685550	1.781867	1.878184	1.974502	2.070819	2.167137	2.263454	2.359772	2.456089	2.552407	2.648725	2.745042	2.841360	2.937678	3.033996	3.130314	3.226632	3.322950	3.419268	3.515586	3.611905	3.708223	3.804542	3.900860	3.997179	4.093497	4.189816	4.286135	4.382454	4.478773	4.575092	4.671411	4.767731	4.864050	4.960369	5.056689	5.153009	5.249329	5.345648	5.441968	5.538289	5.634609	5.730929	5.827250	5.923570	6.019891	6.116212	6.212533	6.308854	6.405175	6.501496	6.597818	6.694140	6.790461	6.886783	6.983105	7.079428	7.175750	7.272072	7.368395	7.464718	7.561041	7.657364	7.753687	7.850011	7.946334	8.042658	8.138982	8.235307	8.331631	8.427955	8.524280	8.620605	8.716930	8.813256	8.909581	9.005907	9.102233	9.198559	9.294885	9.391212	9.487538	9.583865	
Time=0.020000	0.048171	0.144514	0.240856	0.337198	0.433540	0.529883	0.626225	0.722567	0.818909	0.915251	1.011593	1.107935	1.204277	1.300619	1.396961	1.493303	1.589645	1.685987	1.782329	1.878671	1.975012	2.071354	2.167696	2.264037	2.360379	2.456720	2.553062	2.649403	2.745745	2.842086	2.938427	3.034768	3.131109	3.227450	3.323791	3.420132	3.516473	3.612813	3.709154	3.805495	3.901835	3.998175	4.094515	4.190855	4.287195	4.383535	4.479875	4.576215	4.672554	4.768894	4.865233	4.961572	5.057911	5.154250	5.250589	5.346927	5.443266	5.539604	5.635942	5.732280	5.828618	5.924955	6.021293	6.117630	6.213967	6.310304	6.406641	6.502978	6.599314	6.695650	6.791986	6.888322	6.984657	7.080993	7.177328	7.273663	7.369997	7.466332	7.562666	7.659000	7.755333	7.851667	7.948000	8.044332	8.140665	8.236997	8.333329	8.429661	8.525992	8.622323	8.718654	8.814984	8.911315	9.007644	9.103974	9.200303	9.296631	9.392960	9.489288	9.585615	
Time=0.030000	0.048164	0.144493	0.240821	0.337149	0.433477	0.529806	0.626134	0.722462	0.818790	0.915118	1.011446	1.107774	1.204102	1.300431	1.396759	1.493087	1.589415	1.685743	1.782070	1.878398	1.974726	2.071054	2.167382	2.263709	2.360037	2.456365	2.552692	2.649020	2.745347	2.841675	2.938002	3.034330	3.130657	3.226984	3.323311	3.419638	3.515965	3.612293	3.708619	3.804946	3.901273	3.997600	4.093927	4.190253	4.286580	4.382906	4.479233	4.575559	4.671886	4.768212	4.864538	4.960864	5.057191	5.153517	5.249843	5.346169	5.442494	5.538820	5.635146	5.731472	5.827798	5.924123	6.020449	6.116774	6.213100	6.309425	6.405751	6.502076	6.598402	6.694727	6.791052	6.887378	6.983703	7.080028	7.176354	7.272679	7.369004	7.465329	7.561655	7.657980	7.754305	7.850631	7.946956	8.043282	8.139607	8.235932	8.332258	8.428584	8.524909	8.621235	8.717561	8.813887	8.910213	9.006539	9.102865	9.199192	9.295518	9.391845	9.488172	9.584499	
Time=0.040000	0.048157	0.144471	0.240785	0.337098	0.433412	0.529726	0.626040	0.722354	0.818668	0.914982	1.011296	1.107610	1.203924	1.300239	1.396553	1.492867	1.589182	1.685496	1.781811	1.878125	1.974440	2.070755	2.167070	2.263385	2.359700	2.456015	2.552331	2.648646	2.744962	2.841277	2.937593	3.033909	3.130225	3.226542	3.322858	3.419175	3.515491	3.611808	3.708125	3.804442	3.900760	3.997077	4.093395	4.189713	4.286031	4.382349	4.478668	4.574986	4.671305	4.767624	4.863943	4.960262	5.056582	5.152902	5.249222	5.345542	5.441862	5.538183	5.634503	5.730824	5.827145	5.923467	6.019788	6.116110	6.212432	6.308754	6.405077	6.501399	6.597722	6.694045	6.790368	6.886691	6.983015	7.079339	7.175663	7.271987	7.368311	7.464636	7.560960	7.657285	7.753611	7.849936	7.946261	8.042587	8.138912	8.235238	8.331564	8.427890	8.524217	8.620543	8.716870	8.813196	8.909523	9.005850	9.102177	9.198504	9.294831	9.391158	9.487485	9.583812	
Time=0.050000	0.048167	0.144502	0.240836	0.337171	0.433505	0.529840	0.626174	0.722508	0.818843	0.915177	1.011512	1.107846	1.204180	1.300514	1.396849	1.493183	1.589517	1.685851	1.782185	1.878519	1.974853	2.071187	2.167521	2.263855	2.360188	2.456522	2.552856	2.649189	2.745523	2.841856	2.938190	3.034523	3.130856	3.227189	3.323522	3.419855	3.516188	3.612521	3.708854	3.805186	3.901519	3.997851	4.094184	4.190516	4.286848	4.383180	4.479512	4.575844	4.672175	4.768507	4.864838	4.961170	5.057501	5.153832	5.250163	5.346494	5.442825	5.539156	5.635486	5.731816	5.828147	5.924477	6.020807	6.117137	6.213467	6.309796	6.406126	6.502455	6.598785	6.695114	6.791443	6.887772	6.984101	7.080429	7.176758	7.273086	7.369415	7.465743	7.562071	7.658399	7.754727	7.851055	7.947382	8.043710	8.140038	8.236365	8.332692	8.429020	8.525347	8.621674	8.718001	8.814329	8.910656	9.006983	9.103310	9.199637	9.295964	9.392291	9.488618	9.584945	
Time=0.060000	0.048167	0.144500	0.240833	0.337165	0.433498	0.529831	0.626164	0.722497	0.818830	0.915163	1.011496	1.107828	1.204161	1.300494	1.396827	1.493160	1.589492	1.685825	1.782158	1.878490	1.974823	2.071156	2.167488	2.263821	2.360153	2.456486	2.552818	2.649151	2.745483	2.841816	2.938148	3.034480	3.130812	3.227145	3.323477	3.419809	3.516141	3.612473	3.708805	3.805137	3.901469	3.997801	4.094133	4.190465	4.286796	4.383128	4.479460	4.575791	4.672123	4.768454	4.864786	4.961117	5.057449	5.153780	5.250111	5.346442	5.442774	5.539105	5.635436	5.731767	5.828098	5.924429	6.020760	6.117091	6.213421	6.309752	6.406083	6.502414	6.598744	6.695075	6.791405	6.887736	6.984066	7.080396	7.176727	7.273057	7.369387	7.465717	7.562047	7.658377	7.754707	7.851037	7.947366	8.043696	8.140025	8.236355	8.332684	8.429013	8.525342	8.621671	8.718000	8.814329	8.910658	9.006986	9.103314	9.199642	9.295970	9.392298	9.488625	9.584953	
Time=0.070000	0.048159	0.144478	0.240797	0.337116	0.433435	0.529753	0.626072	0.722391	0.818710	0.915029	1.011348	1.107667	1.203986	1.300305	1.396624	1.492943	1.589262	1.685582	1.781901	1.878220	1.974540	2.070859	2.167178	2.263498	2.359818	2.456137	2.552457	2.648777	2.745097	2.841417	2.937736	3.034057	3.130377	3.226697	3.323017	3.419337	3.515658	3.611978	3.708299	3.804620	3.900940	3.997261	4.093582	4.189903	4.286224	4.382545	4.478867	4.575188	4.671509	4.767831	4.864153	4.960474	5.056796	5.153118	5.249440	5.345762	5.442084	5.538406	5.634728	5.731051	5.827373	5.923696	6.020019	6.116341	6.212664	6.308987	6.405310	6.501633	6.597956	6.694280	6.790603	6.886926	6.983250	7.079574	7.175897	7.272221	7.368545	7.464869	7.561193	7.657517	7.753842	7.850166	7.946491	8.042815	8.139140	8.235465	8.331790	8.428115	8.524440	8.620765	8.717090	8.813416	8.909742	9.006068	9.102394	9.198720	9.295046	9.391372	9.487699	9.584026	
Time=0.080000	0.048164	0.144491	0.240818	0.337145	0.433472	0.529799	0.626126	0.722453	0.818781	0.915108	1.011435	1.107762	1.204089	1.300416	1.396744	1.493071	1.589398	1.685725	1.782052	1.878379	1.974706	2.071033	2.167360	2.263687	2.360014	2.456341	2.552668	2.648995	2.745322	2.841649	2.937976	3.034303	3.130630	3.226956	3.323283	3.419610	3.515937	3.612264	3.708590	3.804917	3.901244	3.997570	4.093897	4.190224	4.286550	4.382877	4.479204	4.575530	4.671857	4.768183	4.864510	4.960836	5.057163	5.153490	5.249816	5.346143	5.442469	5.538796	5.635123	5.731449	5.827776	5.924102	6.020429	6.116756	6.213082	6.309409	6.405736	6.502062	6.598389	6.694716	6.791043	6.887369	6.983696	7.080023	7.176350	7.272677	7.369004	7.465331	7.561658	7.657985	7.754312	7.850639	7.946966	8.043294	8.139621	8.235948	8.332275	8.428603	8.524930	8.621257	8.717584	8.813912	8.910239	9.006566	9.102894	9.199221	9.295548	9.391875	9.488202	9.584530	
Time=0.090000	0.048167	0.144500	0.240832	0.337165	0.433498	0.529831	0.626164	0.722497	0.818830	0.915163	1.011496	1.107829	1.204162	1.300495	1.396828	1.493161	1.589495	1.685828	1.782161	1.878494	1.974827	2.071160	2.167493	2.263826	2.360159	2.456492	2.552825	2.649158	2.745491	2.841824	2.938157	3.034489	3.130822	3.227155	3.323488	3.419821	3.516154	3.612486	3.708819	3.805152	3.901484	3.997817	4.094149	4.190482	4.286814	4.383147	4.479479	4.575811	4.672144	4.768476	4.864808	4.961140	5.057472	5.153804	5.250136	5.346468	5.442800	5.539132	5.635463	5.731795	5.828126	5.924458	6.020789	6.117120	6.213452	6.309783	6.406114	6.502444	6.598775	6.695106	6.791436	6.887767	6.984097	7.080427	7.176757	7.273087	7.369417	7.465747	7.562077	7.658406	7.754736	7.851065	7.947394	8.043723	8.140052	8.236380	8.332709	8.429038	8.525366	8.621694	8.718022	8.814350	8.910678	9.007005	9.103333	9.199660	9.295987	9.392314	9.488641	9.584968	
