             	node1  X	node2  X	node3  X	node4  X	node5  X	node6  X	node7  X	node8  X	node9  X	node10 X	node11 X	node12 X	node13 X	node14 X	node15 X	node16 X	node17 X	node18 X	node19 X	node20 X	node21 X	node22 X	node23 X	node24 X	node25 X	node26 X	node27 X	node28 X	node29 X	node30 X	node31 X	node32 X	node33 X	node34 X	node35 X	node36 X	node37 X	node38 X	node39 X	node40 X	node41 X	node42 X	node43 X	node44 X	node45 X	node46 X	node47 X	node48 X	node49 X	node50 X	node51 X	node52 X	node53 X	node54 X	node55 X	node56 X	node57 X	node58 X	node59 X	node60 X	node61 X	node62 X	node63 X	node64 X	node65 X	node66 X	node67 X	node68 X	node69 X	node70 X	node71 X	node72 X	node73 X	node74 X	node75 X	node76 X	node77 X	node78 X	node79 X	node80 X	node81 X	node82 X	node83 X	node84 X	node85 X	node86 X	node87 X	node88 X	node89 X	node90 X	node91 X	node92 X	node93 X	node94 X	node95 X	node96 X	node97 X	node98 X	node99 X	node100X	
Time=0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Time=0.010000	0.000002	0.000006	0.000009	0.000011	0.000013	0.000014	0.000015	0.000015	0.000016	0.000016	0.000016	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000016	0.000016	0.000015	0.000015	0.000015	0.000014	0.000013	0.000011	0.000008	0.000005	0.000002	
Time=0.020000	0.000006	0.000018	0.000030	0.000039	0.000047	0.000054	0.000059	0.000062	0.000065	0.000066	0.000067	0.000067	0.000067	0.000067	0.000067	0.000067	0.000066	0.000066	0.000066	0.000066	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000065	0.000066	0.000066	0.000066	0.000066	0.000067	0.000067	0.000067	0.000068	0.000068	0.000067	0.000067	0.000065	0.000063	0.000059	0.000054	0.000048	0.000040	0.000030	0.000019	0.000006	
Time=0.030000	0.000012	0.000037	0.000059	0.000080	0.000099	0.000114	0.000128	0.000139	0.000147	0.000153	0.000158	0.000161	0.000163	0.000164	0.000164	0.000163	0.000163	0.000162	0.000161	0.000161	0.000160	0.000159	0.000159	0.000159	0.000159	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000158	0.000157	0.000157	0.000157	0.000157	0.000157	0.000157	0.000157	0.000157	0.000157	0.000157	0.000157	0.000156	0.000156	0.000156	0.000156	0.000156	0.000156	0.000156	0.000156	0.000156	0.000156	0.000157	0.000157	0.000157	0.000157	0.000156	0.000155	0.000153	0.000149	0.000145	0.000138	0.000130	0.000119	0.000107	0.000093	0.000077	0.000060	0.000043	0.000026	0.000009	
Time=0.040000	0.000021	0.000062	0.000101	0.000137	0.000169	0.000198	0.000224	0.000245	0.000263	0.000277	0.000289	0.000297	0.000304	0.000308	0.000310	0.000311	0.000311	0.000310	0.000309	0.000308	0.000306	0.000305	0.000304	0.000302	0.000302	0.000301	0.000300	0.000300	0.000300	0.000300	0.000300	0.000300	0.000300	0.000300	0.000300	0.000300	0.000300	0.000300	0.000300	0.000300	0.000299	0.000299	0.000299	0.000299	0.000299	0.000299	0.000299	0.000299	0.000299	0.000299	0.000299	0.000299	0.000298	0.000298	0.000298	0.000298	0.000298	0.000298	0.000298	0.000298	0.000298	0.000297	0.000297	0.000297	0.000297	0.000297	0.000296	0.000296	0.000296	0.000296	0.000295	0.000295	0.000295	0.000295	0.000295	0.000296	0.000296	0.000297	0.000297	0.000298	0.000298	0.000298	0.000297	0.000296	0.000293	0.000290	0.000284	0.000277	0.000267	0.000256	0.000242	0.000226	0.000208	0.000188	0.000166	0.000142	0.000115	0.000085	0.000053	0.000018	
Time=0.050000	0.000032	0.000096	0.000156	0.000213	0.000265	0.000312	0.000353	0.000389	0.000420	0.000446	0.000468	0.000485	0.000499	0.000510	0.000517	0.000522	0.000525	0.000526	0.000526	0.000526	0.000524	0.000522	0.000520	0.000518	0.000516	0.000514	0.000513	0.000511	0.000510	0.000510	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000510	0.000510	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000509	0.000508	0.000508	0.000508	0.000508	0.000508	0.000508	0.000507	0.000507	0.000507	0.000507	0.000507	0.000507	0.000507	0.000508	0.000509	0.000510	0.000511	0.000512	0.000513	0.000514	0.000515	0.000515	0.000514	0.000513	0.000510	0.000506	0.000501	0.000493	0.000485	0.000474	0.000462	0.000448	0.000431	0.000411	0.000387	0.000358	0.000323	0.000280	0.000230	0.000171	0.000106	0.000036	
Time=0.060000	0.000049	0.000145	0.000236	0.000322	0.000401	0.000473	0.000536	0.000593	0.000642	0.000685	0.000721	0.000752	0.000777	0.000798	0.000814	0.000827	0.000836	0.000842	0.000846	0.000849	0.000849	0.000849	0.000847	0.000845	0.000842	0.000840	0.000837	0.000835	0.000832	0.000831	0.000829	0.000828	0.000827	0.000826	0.000826	0.000826	0.000826	0.000826	0.000826	0.000826	0.000827	0.000827	0.000827	0.000827	0.000827	0.000827	0.000827	0.000827	0.000827	0.000827	0.000827	0.000827	0.000827	0.000827	0.000827	0.000827	0.000826	0.000826	0.000826	0.000826	0.000826	0.000825	0.000825	0.000825	0.000825	0.000825	0.000826	0.000826	0.000827	0.000828	0.000829	0.000831	0.000832	0.000834	0.000835	0.000836	0.000836	0.000836	0.000835	0.000833	0.000831	0.000827	0.000822	0.000816	0.000808	0.000799	0.000787	0.000773	0.000754	0.000731	0.000700	0.000662	0.000616	0.000559	0.000493	0.000418	0.000334	0.000244	0.000148	0.000050	
Time=0.070000	0.000072	0.000213	0.000348	0.000476	0.000593	0.000700	0.000796	0.000882	0.000957	0.001022	0.001079	0.001128	0.001169	0.001203	0.001232	0.001255	0.001273	0.001288	0.001298	0.001306	0.001311	0.001314	0.001315	0.001314	0.001313	0.001310	0.001307	0.001304	0.001301	0.001297	0.001294	0.001292	0.001289	0.001287	0.001286	0.001285	0.001284	0.001284	0.001283	0.001283	0.001283	0.001284	0.001284	0.001284	0.001284	0.001285	0.001285	0.001285	0.001285	0.001285	0.001285	0.001284	0.001284	0.001284	0.001284	0.001283	0.001283	0.001282	0.001282	0.001282	0.001282	0.001282	0.001282	0.001282	0.001283	0.001284	0.001285	0.001287	0.001288	0.001290	0.001291	0.001292	0.001294	0.001294	0.001294	0.001294	0.001293	0.001292	0.001289	0.001287	0.001283	0.001278	0.001271	0.001262	0.001249	0.001231	0.001207	0.001175	0.001135	0.001085	0.001026	0.000955	0.000874	0.000784	0.000684	0.000575	0.000458	0.000334	0.000203	0.000068	
Time=0.080000	0.000099	0.000294	0.000483	0.000662	0.000829	0.000982	0.001122	0.001247	0.001359	0.001457	0.001542	0.001616	0.001679	0.001732	0.001777	0.001815	0.001846	0.001870	0.001890	0.001906	0.001917	0.001925	0.001931	0.001934	0.001935	0.001934	0.001932	0.001929	0.001926	0.001922	0.001918	0.001914	0.001910	0.001907	0.001904	0.001901	0.001899	0.001897	0.001896	0.001895	0.001895	0.001895	0.001895	0.001895	0.001895	0.001896	0.001896	0.001896	0.001896	0.001896	0.001896	0.001896	0.001896	0.001895	0.001895	0.001895	0.001894	0.001894	0.001894	0.001895	0.001895	0.001896	0.001897	0.001898	0.001900	0.001901	0.001903	0.001904	0.001906	0.001907	0.001908	0.001909	0.001910	0.001910	0.001911	0.001911	0.001911	0.001910	0.001908	0.001904	0.001897	0.001886	0.001871	0.001848	0.001819	0.001781	0.001734	0.001676	0.001609	0.001531	0.001442	0.001343	0.001231	0.001108	0.000972	0.000822	0.000658	0.000482	0.000295	0.000099	
Time=0.090000	0.000128	0.000382	0.000629	0.000864	0.001086	0.001293	0.001484	0.001658	0.001816	0.001957	0.002082	0.002192	0.002287	0.002369	0.002439	0.002499	0.002548	0.002589	0.002622	0.002649	0.002670	0.002686	0.002698	0.002707	0.002713	0.002716	0.002717	0.002717	0.002715	0.002712	0.002708	0.002704	0.002700	0.002696	0.002691	0.002687	0.002683	0.002680	0.002677	0.002675	0.002673	0.002672	0.002671	0.002670	0.002670	0.002670	0.002670	0.002670	0.002670	0.002670	0.002670	0.002670	0.002670	0.002670	0.002671	0.002671	0.002672	0.002672	0.002673	0.002674	0.002675	0.002677	0.002678	0.002680	0.002681	0.002683	0.002684	0.002686	0.002688	0.002690	0.002692	0.002694	0.002697	0.002699	0.002701	0.002701	0.002699	0.002695	0.002686	0.002673	0.002653	0.002626	0.002592	0.002549	0.002497	0.002435	0.002363	0.002280	0.002186	0.002079	0.001957	0.001820	0.001666	0.001494	0.001305	0.001097	0.000874	0.000636	0.000387	0.000130	
